game_id,offense,last_drive_q2_clock,last_drive_q2_play_id,last_drive_q2,last_drive_end_event_q2,next_drive_q3_play_id,next_drive_q3,next_drive_end_event_q3
19929,CALA,01:49,3894305,7.0,PUNT,3894349,8.0,TOUCHDOWN
19929,HIUN,01:06,3894313,8.0,END OF HALF,3894368,9.0,PUNT
19930,ILUN,01:34,3893623,6.0,FUMBLE,3893753,7.0,TOUCHDOWN
19930,NEUN,00:31,3893663,7.0,END OF HALF,3893821,8.0,PUNT
19931,CASJ,03:49,3896822,7.0,FIELD GOAL,3896939,8.0,TOUCHDOWN
19931,UTSO,01:12,3896875,7.0,END OF HALF,3896907,8.0,PUNT
19932,CAFR,01:12,3893899,8.0,FIELD GOAL,3894026,9.0,INTERCEPTION
19932,CTUN,01:46,3893874,9.0,PUNT,3894083,10.0,PUNT
19933,NMST,07:29,3896471,6.0,PUNT,3896674,7.0,DOWNS
19933,TXEP,04:50,3896519,6.0,FIELD GOAL,3896626,7.0,TOUCHDOWN
19934,ALBI,02:37,3898930,5.0,FIELD GOAL,3898952,6.0,TOUCHDOWN
19934,ALJA,00:55,3898939,6.0,END OF HALF,3898966,7.0,PUNT
19935,KYWE,00:04,3901742,7.0,END OF HALF,3901821,8.0,TOUCHDOWN
19935,TNMR,01:37,3901597,7.0,TOUCHDOWN,3901977,8.0,PUNT
19936,OHBG,08:32,3900623,5.0,FIELD GOAL,3901423,6.0,PUNT
19936,TNUN,01:10,3900812,5.0,DOWNS,3901225,6.0,TOUCHDOWN
19937,NCAP,07:35,3900355,5.0,FIELD GOAL,3900910,6.0,PUNT
19937,NCEA,02:29,3900563,6.0,INTERCEPTION,3900997,7.0,FIELD GOAL
19938,MNUN,01:28,3900830,5.0,END OF HALF,3901384,6.0,TOUCHDOWN
19938,OHST,03:32,3900744,4.0,PUNT,3901137,5.0,TOUCHDOWN
19939,CADA,01:31,3900700,7.0,FIELD GOAL,3901020,8.0,FIELD GOAL
19939,OKTU,02:02,3900636,6.0,INTERCEPTION,3900880,7.0,PUNT
19940,FLSO,00:42,3900950,8.0,INTERCEPTION,3901317,9.0,PUNT
19940,NCST,00:11,3901082,8.0,END OF HALF,3901150,9.0,PUNT
19941,UTUN,04:36,3901723,6.0,INTERCEPTION,3902199,7.0,FUMBLE
19941,UTWB,12:04,3901381,5.0,DOWNS,3902263,6.0,FIELD GOAL
19942,ILWE,01:45,3900524,7.0,PUNT,3900987,8.0,TOUCHDOWN
19942,INBS,00:48,3900619,7.0,END OF HALF,3900709,8.0,TOUCHDOWN
19943,NVLV,02:28,3903177,6.0,FIELD GOAL,3903379,7.0,PUNT
19943,WAEA,03:06,3903143,6.0,INTERCEPTION,3903474,7.0,TOUCHDOWN
19944,FLIN,00:01,3902070,7.0,END OF HALF,3902271,8.0,TOUCHDOWN
19944,NYCW,02:20,3901896,6.0,FIELD GOAL,3902128,7.0,PUNT
